Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2u","CAPC2012X140N",207.575000,-99.650000,-90.000000,top
"C2","0.1u","CAPC2012X140N",207.400000,-96.350000,180.000000,top
"C3","0.1u","CAPC2012X140N",215.400000,-90.875000,90.000000,top
"C4","1u","CAPC2012X140N",256.200000,-89.400000,180.000000,top
"C5","0.1u","CAPC2012X140N",226.700000,-98.600000,0.000000,top
"C6","1.5n","CAPC2012X140N",228.275000,-95.950000,-90.000000,top
"COUT1","10u","CAPC2012X140N",179.125000,-97.300000,90.000000,top
"D1","D","D_SOD-123",204.450000,-97.675000,-90.000000,top
"D2","D","D_SOD-123",215.250000,-88.075000,180.000000,top
"IC1","MAX25603AUI_V+","SOP65P640X110-29N",221.162000,-94.675000,0.000000,top
"J1","Barrel_Jack","BarrelJack_Horizontal",261.400000,-92.357500,180.000000,top
"L1","20u","7843332000",245.800000,-94.000000,-90.000000,top
"LED1","SPMWHD32AMH0XAR0PR","SPMWHD32AMH0XAR0PR",145.775000,-90.350000,90.000000,top
"LED2","SPMWHD32AMH0XAR0PR","SPMWHD32AMH0XAR0PR",152.775000,-96.850000,90.000000,top
"LED3","SPMWHD32AMH0XAR0PR","SPMWHD32AMH0XAR0PR",159.775000,-90.350000,90.000000,top
"LED4","SPMWHD32AMH0XAR0PR","SPMWHD32AMH0XAR0PR",167.275000,-96.850000,90.000000,top
"LED5","SPMWHD32AMH0XAR0PR","SPMWHD32AMH0XAR0PR",116.775000,-90.350000,90.000000,top
"LED6","SPMWHD32AMH0XAR0PR","SPMWHD32AMH0XAR0PR",125.275000,-96.850000,90.000000,top
"LED7","SPMWHD32AMH0XAR0PR","SPMWHD32AMH0XAR0PR",131.775000,-90.350000,90.000000,top
"LED8","SPMWHD32AMH0XAR0PR","SPMWHD32AMH0XAR0PR",138.775000,-96.850000,90.000000,top
"Q1","FDMC8032L","Fairchild_DualPower33-6_3x3mm",237.075000,-93.660000,-90.000000,top
"Q2","FDMC8032L","Fairchild_DualPower33-6_3x3mm",254.775000,-93.810000,-90.000000,top
"R1","0.02","R_0805_2012Metric",213.500000,-99.425000,-90.000000,top
"R2","1.27k","R_0805_2012Metric",215.500000,-99.412500,-90.000000,top
"R3","0.02","R_0805_2012Metric",211.500000,-99.425000,-90.000000,top
"R4","100","R_0805_2012Metric",226.350000,-95.950000,-90.000000,top
"R5","100k","R_0805_2012Metric",223.450000,-88.200000,0.000000,top
"RDL1","10k","R_0805_2012Metric",209.550000,-99.425000,-90.000000,top
"RDL2","10k","R_0805_2012Metric",237.280000,-89.340000,-90.000000,top
"RLED1","2","R_0805_2012Metric",177.195000,-97.440000,-90.000000,top
"RLED2","2","R_0805_2012Metric",175.237500,-97.437500,-90.000000,top
"RV1","10k","Potentiometer_Vishay_TS53YJ_Vertical",228.550000,-89.950000,0.000000,top
