"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LED1,LED6,LED3,LED4,LED5,LED8,LED7,LED2";"SPMWHD32AMH0XAR0PR";8;"SPMWHD32AMH0XAR0PR";;;
2;"R4";"R_0805_2012Metric";1;"100";;;
3;"R1,R3";"R_0805_2012Metric";2;"0.02";;;
4;"RLED1,RLED2";"R_0805_2012Metric";2;"2";;;
5;"Q1,Q2";"Fairchild_DualPower33-6_3x3mm";2;"FDMC8032L";;;
6;"C4";"CAPC2012X140N";1;"1u";;;
7;"COUT1";"CAPC2012X140N";1;"10u";;;
8;"R5";"R_0805_2012Metric";1;"100k";;;
9;"J1";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
10;"D1,D2";"D_SOD-123";2;"D";;;
11;"C6";"CAPC2012X140N";1;"1.5n";;;
12;"C2,C3";"CAPC2012X140N";2;"0.1u";;;
13;"IC1";"SOP65P640X110-29N";1;"MAX25603AUI_V+";;;
14;"RV1";"Potentiometer_Vishay_TS53YJ_Vertical";1;"10k";;;
15;"C5";"CAPC2012X140N";1;"0.1u";;;
16;"L1";"7843332000";1;"20u";;;
17;"RDL1,RDL2";"R_0805_2012Metric";2;"10k";;;
18;"C1";"CAPC2012X140N";1;"2.2u";;;
19;"R2";"R_0805_2012Metric";1;"1.27k";;;
