Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPC2012X140N,1,2.2u,
"C2, C3, C5",CAPC2012X140N,3,0.1u,
C4,CAPC2012X140N,1,1uF,
C6,CAPC2012X140N,1,1.5n,
C7,CP_Elec_6.3x5.4,1,68uF,
COUT1,1206,1,10u,
"D1, D2",D_SOD-123,2,D,
IC1,SOP65P640X110-29N,1,MAX25603AUI_V+,
J1,TerminalBlock_MetzConnect_Type086_RT03402HBLC_1x02_P3.81mm_Horizontal,1,Screw_Terminal_01x02,
L1,7843332000,1,20u,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",SPMWHD32AMH0XAR0PR,8,SPMWHD32AMH0XAR0PR,
"Q1, Q2",Fairchild_DualPower33-6_3x3mm,2,FDMC8032L,
"R1, R3",1210,2,0.02,
R2,0805,1,1.27k,
R4,0805,1,100,
R5,0805,1,100k,
"RDL1, RDL2",0805,2,10k,
"RLED1, RLED2",0805,2,2,
RV1,Potentiometer_Vishay_TS53YJ_Vertical,1,10k,
